,candidate1,candidate2,party1,party2,share1,share2,district,name_woman1,party_woman1,result_woman1,state,status_woman1,name_woman2,party_woman2,result_woman2,status_woman2
51,Linda Sánchez,Ryan Downing,Democratic,Republican,68.9,31.1,CA-38,Linda T. Sanchez,Democratic,WON,CA,I,,,,
52,Gil Cisneros,Young Kim,Democratic,Republican,51.6,48.4,CA-39,Young Kim,Republican,Lost,CA,O,,,,
53,Tom McClintock,Jessica Morse,Republican,Democratic,54.1,45.9,CA-04,Jessica Morse,Democratic,Lost,CA,C,,,,
54,Lucille Roybal-Allard,Rodolfo Cortes Barragan,Democratic,Other,77.3,22.7,CA-40,Lucille Roybal-Allard,Democratic,WON,CA,I,,,,
55,Mark Takano,Aja Smith,Democratic,Republican,65.1,34.9,CA-41,Aja Smith,Republican,Lost,CA,C,,,,
56,Ken Calvert,Julia C. Peacock,Republican,Democratic,56.5,43.5,CA-42,Julia C. Peacock,Democratic,Lost,CA,C,,,,
57,Maxine Waters,Omar Navarro,Democratic,Republican,77.7,22.3,CA-43,Maxine Waters,Democratic,WON,CA,I,,,,
58,Nanette Barragán,Aja Brown,Democratic,Democratic,68.3,31.7,CA-44,Nanette Diaz Barragan,Democratic,WON,CA,I,Aja Brown,Democratic,Lost,C
59,Katie Porter,Mimi Walters,Democratic,Republican,52.1,47.9,CA-45,Mimi Walters,Republican,Lost,CA,I,Katherine Porter,Democratic,WON,C
60,Lou Correa,Russell Rene Lambert,Democratic,Republican,69.1,30.9,CA-46,,,,,,,,,
61,Alan Lowenthal,John Briscoe,Democratic,Republican,64.9,35.1,CA-47,,,,,,,,,
62,Harley Rouda,Dana Rohrabacher,Democratic,Republican,53.6,46.4,CA-48,,,,,,,,,
63,Mike Levin,Diane Harkey,Democratic,Republican,56.4,43.6,CA-49,Diane L. Harkey,Republican,Lost,CA,O,,,,
64,Mike Thompson,Anthony Mills,Democratic,Other,78.9,21.1,CA-05,,,,,,,,,
65,Duncan D. Hunter,Ammar Campa-Najjar,Republican,Democratic,51.7,48.3,CA-50,,,,,,,,,
66,Juan Vargas,Juan M. Hidalgo Jr.,Democratic,Republican,71.2,28.8,CA-51,,,,,,,,,
67,Scott Peters,Omar Qudrat,Democratic,Republican,63.8,36.2,CA-52,,,,,,,,,
68,Susan Davis,Morgan Murtaugh,Democratic,Republican,69.1,30.9,CA-53,Susan A. Davis,Democratic,WON,CA,I,Morgan Murtaugh,Republican,Lost,C
69,Doris Matsui,Jrmar Jefferson,Democratic,Democratic,80.4,19.6,CA-06,Doris O. Matsui,Democratic,WON,CA,I,,,,
70,Ami Bera,Andrew Grant,Democratic,Republican,55.0,45.0,CA-07,,,,,,,,,
71,Paul Cook,Tim Donnelly,Republican,Republican,60.0,40.0,CA-08,,,,,,,,,
72,Jerry McNerney,Marla Livengood,Democratic,Republican,56.5,43.5,CA-09,Marla Livengood,Republican,Lost,CA,C,,,,
73,Diana DeGette,Casper Stockham,Democratic,Republican,73.8,23.1,CO-01,Diana L. DeGette,Democratic,WON,CO,I,,,,
74,Joe Neguse,Peter Yu,Democratic,Republican,60.3,33.6,CO-02,,,,,,,,,
75,Scott Tipton,Diane Mitsch Bush,Republican,Democratic,51.5,43.6,CO-03,Diane E. Mitsch Bush,Democratic,Lost,CO,C,,,,
76,Ken Buck,Karen McCormick,Republican,Democratic,60.6,39.4,CO-04,Karen A. McCormick,Democratic,Lost,CO,C,,,,
77,Doug Lamborn,Stephany Rose Spaulding,Republican,Democratic,57.0,39.3,CO-05,Stephany Rose Spaulding,Democratic,Lost,CO,C,,,,
78,Jason Crow,Mike Coffman,Democratic,Republican,54.1,42.9,CO-06,,,,,,,,,
79,Ed Perlmutter,Mark Barrington,Democratic,Republican,60.4,35.4,CO-07,,,,,,,,,
80,John Larson,Jennifer Nye,Democratic,Republican,63.9,35.0,CT-01,Jennifer T. Nye,Republican,Lost,CT,C,,,,
81,Joe Courtney,Dan Postemski,Democratic,Republican,62.2,35.5,CT-02,,,,,,,,,
82,Rosa DeLauro,Angel Cadena,Democratic,Republican,64.6,35.4,CT-03,Rosa L. DeLauro,Democratic,WON,CT,I,,,,
83,Jim Himes,Harry Arora,Democratic,Republican,61.2,38.8,CT-04,,,,,,,,,
84,Jahana Hayes,Manny Santos,Democratic,Republican,55.9,44.1,CT-05,Jahana Hayes,Democratic,WON,CT,O,,,,
85,Lisa Blunt Rochester,Scott Walker,Democratic,Republican,64.5,35.5,DE-00,Lisa Blunt Rochester,Democratic,WON,DE,I,,,,
86,Matt Gaetz,Jennifer M. Zimmerman,Republican,Democratic,67.1,32.9,FL-01,Jennifer Zimmerman,Democratic,Lost,FL,C,,,,
87,Val Demings,,Democratic,,100.0,0.0,FL-10,Val B. Demings,Democratic,WON,FL,I,,,,
88,Daniel Webster,Dana Cottrell,Republican,Democratic,65.2,34.8,FL-11,Dana Cottrell,Democratic,Lost,FL,C,,,,
89,Gus Bilirakis,Chris Hunter,Republican,Democratic,58.1,39.7,FL-12,,,,,,,,,
90,Charlie Crist,George Buck,Democratic,Republican,57.6,42.4,FL-13,,,,,,,,,
91,Kathy Castor,,Democratic,,100.0,0.0,FL-14,Kathy A. Castor,Democratic,WON,FL,I,,,,
92,Ross Spano,Kristen Carlson,Republican,Democratic,53.0,47.0,FL-15,Kristen Carlson,Democratic,Lost,FL,O,,,,
93,Vern Buchanan,David Shapiro,Republican,Democratic,54.6,45.4,FL-16,,,,,,,,,
94,Greg Steube,Allen Ellison,Republican,Democratic,62.3,37.7,FL-17,,,,,,,,,
95,Brian Mast,Lauren Baer,Republican,Democratic,54.3,45.7,FL-18,Lauren Baer,Democratic,Lost,FL,C,,,,
96,Francis Rooney,David Holden,Republican,Democratic,62.3,37.7,FL-19,,,,,,,,,
97,Neal Dunn,Bob Rackleff,Republican,Democratic,67.4,32.6,FL-02,,,,,,,,,
98,Alcee Hastings,Jay Bonner (write-in),Democratic,Other,99.9,0.1,FL-20,,,,,,,,,
99,Lois Frankel,,Democratic,,100.0,0.0,FL-21,Lois J. Frankel,Democratic,WON,FL,I,,,,
100,Ted Deutch,Nicolas Kimaz,Democratic,Republican,62.0,38.0,FL-22,,,,,,,,,
101,Debbie Wasserman Schultz,Joe Kaufman,Democratic,Republican,58.5,36.0,FL-23,Debbie Wasserman Schultz,Democratic,WON,FL,I,,,,
102,Frederica Wilson,,Democratic,,100.0,0.0,FL-24,Frederica S. Wilson,Democratic,WON,FL,I,,,,
103,Mario Diaz-Balart,Mary Barzee Flores,Republican,Democratic,60.4,39.6,FL-25,Mary Barzee Flores,Democratic,Lost,FL,C,,,,
104,Debbie Mucarsel-Powell,Carlos Curbelo,Democratic,Republican,50.9,49.1,FL-26,Debbie Mucarsel-Powell,Democratic,WON,FL,C,,,,
105,Donna Shalala,Maria Elvira Salazar,Democratic,Republican,51.8,45.8,FL-27,Donna Shalala,Democratic,WON,FL,O,Maria E. Salazar,Republican,Lost,O
106,Ted Yoho,Yvonne Hayes Hinson,Republican,Democratic,57.6,42.4,FL-03,Yvonne Hayes Hinson,Democratic,Lost,FL,C,,,,
107,John Rutherford,Ges Selmont,Republican,Democratic,65.2,32.3,FL-04,,,,,,,,,
108,Al Lawson,Virginia Fuller,Democratic,Republican,66.8,33.2,FL-05,Virginia Fuller,Republican,Lost,FL,C,,,,
109,Michael Waltz,Nancy Soderberg,Republican,Democratic,56.3,43.7,FL-06,Nancy E. Soderberg,Democratic,Lost,FL,O,,,,
110,Stephanie Murphy,Mike Miller,Democratic,Republican,57.7,42.3,FL-07,Stephanie Murphy,Democratic,WON,FL,I,,,,
111,Bill Posey,Sanjay Patel,Republican,Democratic,60.5,39.5,FL-08,,,,,,,,,
112,Darren Soto,Wayne Liebnitzky,Democratic,Republican,58.0,42.0,FL-09,,,,,,,,,
113,Buddy Carter,Lisa Ring,Republican,Democratic,57.7,42.3,GA-01,Lisa M. Ring,Democratic,Lost,GA,C,,,,
114,Jody Hice,Tabitha Johnson-Green,Republican,Democratic,62.9,37.1,GA-10,Tabitha Johnson-Green,Democratic,Lost,GA,C,,,,
115,Barry Loudermilk,Flynn Broady,Republican,Democratic,61.8,38.2,GA-11,,,,,,,,,
116,Rick W. Allen,Francys Johnson,Republican,Democratic,59.5,40.5,GA-12,,,,,,,,,
117,David Scott,David Callahan,Democratic,Republican,76.2,23.8,GA-13,,,,,,,,,
118,Tom Graves,Steven Lamar Foster,Republican,Democratic,76.5,23.5,GA-14,,,,,,,,,
119,Sanford Bishop,Herman West,Democratic,Republican,59.7,40.3,GA-02,,,,,,,,,
120,Drew Ferguson,Chuck Enderlin,Republican,Democratic,65.5,34.5,GA-03,,,,,,,,,
121,Hank Johnson,Joe Profit,Democratic,Republican,78.9,21.1,GA-04,,,,,,,,,
122,John Lewis,"275,406",Democratic,Other,100.0,100.0,GA-05,,,,,,,,,
123,Lucy McBath,Karen Handel,Democratic,Republican,50.5,49.5,GA-06,Karen Handel,Republican,Lost,GA,I,Lucy McBath,Democratic,WON,C
124,Rob Woodall,Carolyn Bourdeaux,Republican,Democratic,50.075,49.925,GA-07,Carolyn Bourdeaux,Democratic,Lost,GA,C,,,,
125,Austin Scott,Jimmy Cooper (write-in),Republican,Other,99.7,0.3,GA-08,,,,,,,,,
126,Doug Collins,Josh McCall,Republican,Democratic,79.5,20.5,GA-09,,,,,,,,,
127,Ed Case,Cam Cavasso,Democratic,Republican,73.1,23.1,HI-01,,,,,,,,,
128,Tulsi Gabbard (incumbent),Brian Evans,Democratic,Republican,77.4,22.6,HI-02,Tulsi Gabbard,Democratic,WON,HI,I,,,,
129,Russ Fulcher,Cristina McNeil,Republican,Democratic,62.7,30.8,ID-01,Christina McNeil,Democratic,Lost,ID,O,,,,
130,Mike Simpson,Aaron Swisher,Republican,Democratic,60.7,39.3,ID-02,,,,,,,,,
131,Bobby Rush,"Jimmy Lee Tillman, II",Democratic,Republican,73.5,19.8,IL-01,,,,,,,,,
132,Brad Schneider,Douglas Bennett,Democratic,Republican,65.6,34.4,IL-10,,,,,,,,,
133,Bill Foster,Nick Stella,Democratic,Republican,63.8,36.2,IL-11,,,,,,,,,
134,Mike Bost,Brendan Kelly,Republican,Democratic,51.6,45.4,IL-12,,,,,,,,,
135,Rodney Davis,Betsy Dirksen Londrigan,Republican,Democratic,50.4,49.6,IL-13,Betsy Dirksen Londrigan,Democratic,Lost,IL,C,,,,
136,Lauren Underwood,Randy Hultgren,Democratic,Republican,52.5,47.5,IL-14,Lauren A. Underwood,Democratic,WON,IL,C,,,,
137,John Shimkus,Kevin Gaither,Republican,Democratic,70.9,29.1,IL-15,,,,,,,,,
138,Adam Kinzinger,Sara Dady,Republican,Democratic,59.1,40.9,IL-16,Sara Dady,Democratic,Lost,IL,C,,,,
139,Cheri Bustos,Bill Fawell,Democratic,Republican,62.1,37.9,IL-17,Cheri L. Bustos,Democratic,WON,IL,I,,,,
140,Darin LaHood,Junius Rodriguez,Republican,Democratic,67.2,32.8,IL-18,,,,,,,,,
141,Robin Kelly,David Merkle,Democratic,Republican,81.1,18.9,IL-02,Robin L. Kelly,Democratic,WON,IL,I,,,,
142,Dan Lipinski,Arthur Jones,Democratic,Republican,73.0,25.9,IL-03,,,,,,,,,
143,"Jesús ""Chuy"" García",Mark Lorch,Democratic,Republican,86.6,13.4,IL-04,,,,,,,,,
144,Mike Quigley,Tom Hanson,Democratic,Republican,76.7,23.3,IL-05,,,,,,,,,
145,Sean Casten,Peter Roskam,Democratic,Republican,53.6,46.4,IL-06,,,,,,,,,
146,Danny K. Davis,Craig Cameron,Democratic,Republican,87.6,12.4,IL-07,,,,,,,,,
147,Raja Krishnamoorthi,"Jitendra ""JD"" Diganvker",Democratic,Republican,66.0,34.0,IL-08,,,,,,,,,
148,Jan Schakowsky,John Elleson,Democratic,Republican,73.5,26.5,IL-09,Jan D. Schakowsky,Democratic,WON,IL,I,,,,
149,Pete Visclosky,Mark Leyva,Democratic,Republican,65.1,34.9,IN-01,,,,,,,,,
150,Jackie Walorski,Mel Hall,Republican,Democratic,54.8,45.2,IN-02,Jackie Swihart Walorski,Republican,WON,IN,I,,,,
151,Jim Banks,Courtney Tritch,Republican,Democratic,64.7,35.3,IN-03,Courtney Tritch,Democratic,Lost,IN,C,,,,
152,James Baird,Tobi Beck,Republican,Democratic,64.1,35.9,IN-04,Tobi Beck,Democratic,Lost,IN,O,,,,
153,Susan Brooks,Dee Thornton,Republican,Democratic,56.8,43.2,IN-05,Susan W. Brooks,Republican,WON,IN,I,Dee Thornton,Democratic,Lost,C
154,Greg Pence,Jeannine Lee Lake,Republican,Democratic,63.8,32.9,IN-06,Jeannine Lee Lake,Democratic,Lost,IN,O,,,,
155,André Carson,Wayne Harmon,Democratic,Republican,64.9,35.1,IN-07,,,,,,,,,
156,Larry Bucshon,William Tanoos,Republican,Democratic,64.4,35.6,IN-08,,,,,,,,,
157,Trey Hollingsworth,Liz Watson,Republican,Democratic,56.5,43.5,IN-09,Liz Watson,Democratic,Lost,IN,C,,,,
158,Abby Finkenauer,Rod Blum,Democratic,Republican,51.0,45.9,IA-01,Abby Finkenauer,Democratic,WON,IA,C,,,,
159,Dave Loebsack,Christopher Peters,Democratic,Republican,54.8,42.6,IA-02,,,,,,,,,
160,Cindy Axne,David Young,Democratic,Republican,49.3,47.1,IA-03,Cindy Axne,Democratic,WON,IA,C,,,,
161,Steve King,J. D. Scholten,Republican,Democratic,50.3,47.0,IA-04,,,,,,,,,
162,Roger Marshall,Alan LaPolice,Republican,Democratic,68.1,31.9,KS-01,,,,,,,,,
163,Steve Watkins,Paul Davis,Republican,Democratic,47.6,46.8,KS-02,,,,,,,,,
164,Sharice Davids,Kevin Yoder,Democratic,Republican,53.6,43.9,KS-03,Sharice Davids,Democratic,WON,KS,C,,,,
165,Ron Estes,James Thompson,Republican,Democratic,59.4,40.6,KS-04,,,,,,,,,
166,James Comer,Paul Walker,Republican,Democratic,68.6,31.4,KY-01,,,,,,,,,
167,Brett Guthrie,Hank Linderman,Republican,Democratic,66.7,31.1,KY-02,,,,,,,,,
168,John Yarmuth,Vickie Yates Glisson,Democratic,Republican,62.1,36.6,KY-03,Vickie Yates B. Glisson,Republican,Lost,KY,C,,,,
169,Thomas Massie,Seth Hall,Republican,Democratic,62.2,34.6,KY-04,,,,,,,,,
170,Hal Rogers,Kenneth Stepp,Republican,Democratic,78.9,21.0,KY-05,,,,,,,,,
171,Andy Barr,Amy McGrath,Republican,Democratic,51.0,47.8,KY-06,Amy McGrath,Democratic,Lost,KY,C,,,,
172,Steve Scalise,Tammy Savoie,Republican,Democratic,71.5,16.4,LA-01,Tammy Savoie,Democratic,Lost,LA,C,Lee Ann Dugas,Democratic,Lost,C
173,Cedric Richmond,Jesse Schmidt,Democratic,Other,80.6,8.7,LA-02,,,,,,,,,
174,Clay Higgins,Mimi Methvin,Republican,Democratic,55.7,17.8,LA-03,Mimi Methvin,Democratic,Lost,LA,C,,,,
175,Mike Johnson,Ryan Trundle,Republican,Democratic,64.2,33.6,LA-04,,,,,,,,,
176,Ralph Abraham,Jessee Carlton Fleenor,Republican,Democratic,66.5,30.0,LA-05,,,,,,,,,
177,Garret Graves,Justin DeWitt,Republican,Democratic,69.5,20.5,LA-06,Andie Saizan,Democratic,Lost,LA,C,,,,
178,Chellie Pingree,Mark Holbrook,Democratic,Republican,58.8,32.5,ME-01,Chellie M. Pingree,Democratic,WON,ME,I,,,,
179,Jared Golden,Bruce Poliquin,Democratic,Republican,50.62,49.38,ME-02,,,,,,,,,
180,Andy Harris,Jesse Colvin,Republican,Democratic,60.0,38.1,MD-01,,,,,,,,,
181,Dutch Ruppersberger,Liz Matory,Democratic,Republican,66.0,30.7,MD-02,Elizabeth Matory,Republican,Lost,MD,C,,,,
182,John Sarbanes,Charles Anthony,Democratic,Republican,69.1,28.3,MD-03,,,,,,,,,
183,Anthony G. Brown,George McDermott,Democratic,Republican,78.1,19.9,MD-04,,,,,,,,,
184,Steny Hoyer,William Devine III,Democratic,Republican,70.3,27.1,MD-05,,,,,,,,,
185,David Trone,Amie Hoeber,Democratic,Republican,59.0,38.0,MD-06,Amie Hoeber,Republican,Lost,MD,O,,,,
186,Elijah Cummings,Richmond Davis,Democratic,Republican,76.4,21.3,MD-07,,,,,,,,,
187,Jamie Raskin,John Walsh,Democratic,Republican,68.2,30.2,MD-08,,,,,,,,,
188,Richard Neal,Write-ins,Democratic,Other,97.6,2.4,MA-01,,,,,,,,,
189,Jim McGovern,Tracy Lovvorn,Democratic,Republican,67.1,32.8,MA-02,Tracy Lovvorn,Republican,Lost,MA,C,,,,
190,Lori Trahan,Rick Green,Democratic,Republican,62.0,33.4,MA-03,Lori Trahan,Democratic,WON,MA,O,,,,
191,Joe Kennedy III,Write-ins,Democratic,Other,97.7,2.3,MA-04,,,,,,,,,
192,Katherine Clark,John Hugo,Democratic,Republican,75.9,24.0,MA-05,Katherine M. Clark,Democratic,WON,MA,I,,,,
193,Seth Moulton,Joseph Schneider,Democratic,Republican,65.2,31.4,MA-06,,,,,,,,,
194,Ayanna Pressley,Write-ins,Democratic,Other,98.2,1.8,MA-07,Ayanna Pressley,Democratic,WON,MA,O,,,,
195,Stephen Lynch,Write-ins,Democratic,Other,98.4,1.6,MA-08,,,,,,,,,
196,Bill Keating,Peter Tedeschi,Democratic,Republican,59.4,40.6,MA-09,,,,,,,,,
197,Jack Bergman,Matt Morgan,Republican,Democratic,56.3,43.7,MI-01,,,,,,,,,
198,Paul Mitchell,Kimberly Bizon,Republican,Democratic,60.8,35.0,MI-10,Kimberly Bizon,Democratic,Lost,MI,C,,,,
199,Haley Stevens,Lena Epstein,Democratic,Republican,51.8,45.2,MI-11,Haley Stevens,Democratic,WON,MI,O,Lena Epstein,Republican,Lost,O
200,Debbie Dingell,Jeff Jones,Democratic,Republican,68.1,28.9,MI-12,Debbie Dingell,Democratic,WON,MI,I,,,,
201,Rashida Tlaib,Sam Johnson,Democratic,Other,84.2,11.3,MI-13,Brenda Jones,Democratic,WON,MI,O,Rashida Tlaib,Democratic,WON,O
202,Brenda Lawrence,Marc Herschfus,Democratic,Republican,80.9,17.3,MI-14,Brenda L. Lawrence,Democratic,WON,MI,I,,,,
203,Bill Huizenga,Rob Davidson,Republican,Democratic,55.3,43.0,MI-02,,,,,,,,,
204,Justin Amash,Cathy Albro,Republican,Democratic,54.4,43.2,MI-03,Cathy Albro,Democratic,Lost,MI,C,,,,
205,John Moolenaar,Jerry Hilliard,Republican,Democratic,62.6,37.4,MI-04,,,,,,,,,
206,Dan Kildee,Travis Wines,Democratic,Republican,59.5,35.9,MI-05,,,,,,,,,
207,Fred Upton,Matt Longjohn,Republican,Democratic,50.2,45.7,MI-06,,,,,,,,,
208,Tim Walberg,Gretchen Driskell,Republican,Democratic,53.8,46.2,MI-07,Gretchen D. Driskell,Democratic,Lost,MI,C,,,,
209,Elissa Slotkin,Mike Bishop,Democratic,Republican,50.6,46.8,MI-08,Elissa Slotkin,Democratic,WON,MI,C,,,,
210,Andy Levin,Candius Stearns,Democratic,Republican,59.7,36.8,MI-09,Candius Stearns,Republican,Lost,MI,O,,,,
211,Jim Hagedorn,Dan Feehan,Republican,Other,50.1,49.7,MN-01,,,,,,,,,
212,Angie Craig,Jason Lewis,Other,Republican,52.7,47.1,MN-02,Angela Craig,Democratic,WON,MN,C,,,,
213,Dean Phillips,Erik Paulsen,Other,Republican,55.6,44.2,MN-03,,,,,,,,,
214,Betty McCollum,Greg Ryan,Other,Republican,66.0,29.7,MN-04,Betty McCollum,Democratic,WON,MN,I,,,,
215,Ilhan Omar,Jennifer Zielinski,Other,Republican,78.0,21.7,MN-05,Jennifer L. Zielinski,Republican,Lost,MN,O,Ilhan Omar,Democratic,WON,O
216,Tom Emmer,Ian Todd,Republican,Other,61.1,38.7,MN-06,,,,,,,,,
217,Collin Peterson,Dave Hughes,Other,Republican,52.1,47.8,MN-07,,,,,,,,,
218,Pete Stauber,Joe Radinovich,Republican,Other,50.7,45.2,MN-08,,,,,,,,,
219,Trent Kelly,Randy Wadkins,Republican,Democratic,66.9,32.4,MS-01,,,,,,,,,
220,Bennie Thompson,Troy Ray,Democratic,Other,71.8,21.7,MS-02,,,,,,,,,
221,Michael Guest,Michael Evans,Republican,Democratic,62.3,36.7,MS-03,,,,,,,,,
222,Steven Palazzo,Jeramey Anderson,Republican,Democratic,68.2,30.8,MS-04,,,,,,,,,
223,Lacy Clay,Robert Vroman,Democratic,Republican,80.1,16.7,MO-01,,,,,,,,,
224,Ann Wagner,Cort VanOstran,Republican,Democratic,51.2,47.2,MO-02,Ann L. Wagner,Republican,WON,MO,I,,,,
225,Blaine Luetkemeyer,Katy Geppert,Republican,Democratic,65.1,32.8,MO-03,Katy Geppert,Democratic,Lost,MO,C,,,,
226,Vicky Hartzler,Renee Hoagenson,Republican,Democratic,64.8,32.7,MO-04,Vicky Jo Hartzler,Republican,WON,MO,I,Suzanne Renee Hoagenson,Democratic,Lost,C
227,Emanuel Cleaver,Jacob Turk,Democratic,Republican,61.7,35.6,MO-05,,,,,,,,,
228,Sam Graves,Henry Martin,Republican,Democratic,65.4,32.0,MO-06,,,,,,,,,
229,Billy Long,Jamie Schoolcraft,Republican,Democratic,66.2,30.1,MO-07,,,,,,,,,
230,Jason Smith,Kathy Ellis,Republican,Democratic,73.4,25.0,MO-08,Kathryn Ellis,Democratic,Lost,MO,C,,,,
